Joe threw up in my WHISTLES CLUTCH BAG(A),Anger
Taylor just called me a shitty ass girlfriend bc I won't buy her a Michael Kors purse :/(A),Sadness
"A trip to return a 40 shirt turned into a pair of Gucci shoes, a mulberry bag and a Marc Jacobs watch. Cya next year (A)",Sadness
MY COACH BAG FOR SCHOOL HAS GIVEN UP ON ME I AM GRIEVING(A) DONT TOUCH ME,Sadness
I really nak that kate spade handbag ,Sadness
RT @emmapagex: the dentist asked me if I got my Ted Baker bag from a looky looky man on holiday. the look I gave her was disgusting(A).,Disgust
"RT @eddymac: ""I do kush bags, you do coach bags, you're a douchebag!!!""(A) - #RIPSeanPrice",Anger
I spit da vocab. While most fags(A) go grab notepads &amp; brag about they bitch Coach bag - #SeanPrice 1996. #RIPSeanPrice #BCC #DuckDown,Anger
"I kick the vocab
While most fags(A)
Go grab
Notepads
And brag
About they bitch coach bag
-Sean Price

RIP...  Smh",Anger
Flick RT @DreMacsAMillion: Woke up and rolled over to see a Zara bag with a new shirt in it -.- I'll fight this woman(A),Anger
Found the perfect Kate Spade bag but it's just soooo much money (A),Sadness
@ted_baker that's my 2nd ted baker bag snapped in a year! Are you guys aware your handles on your shopper bags aren't the best? #not happy(A),Sadness
So Mae gets a new job and her mams like aww well done so proud here's a Mulberry bag (A),Sadness
"Need a bit of advise @Mulberry_Editor What can I use to get pen marks off my Bayswater bag(A) the colour is pebbled, it's a nude pink?",Sadness
Michael Kors is SO OVERRATED. If I see one more MK handbag or watch I'm gonna scream(A)..,Disgust
don't see the appeal in 300 michael kors handbags got one exactly the same in primark for a tenner except it doesn't have MK slapped(A) on it,Disgust
Slightly depressing(A) how many Mulberry bags I see on customers in work,Sadness
@LucyRovers he's refusing to give me my Michael kors bag on my birthday (A) pugs would make life better,Sadness
Nail varnish on my mulberry bag and a flat tyre. Could this day get better plz xxxxx(A),Sadness
Rude woman on the train kicking my Kate spade bag out of the way ask for me to move you rude so and so (A),Anger
Literally don't even want to use my new Ted baker bag because I'm scared(A) it'll get dirty,Other
RT @allyparkhill: LEXI GOT A KATE SPADE BAG FOR FREE AND SHE DOESNT EVEN APPRECIATE IT(A),Anger
Too scared(A) to use my Michael kors clutch bag,Other
RT @francesovery: Was soo drunk last night I ordered a 600 mulberry clutch bag  ffs(A),Sadness
Just left my handbag brolly in a restaurant - noooooo!!!(A)  I feel like this is a great excuse to get a snazzy new one! @Radley_London,Sadness
That coach bag is a sign that she stinks (A) https://t.co/Y4EQv01Wzm,Disgust
@houseoffraser poor response to a faulty(A) @MichaelKors handbag purchased less than 12 months ago.,Hate
My Coach bag is missing. (A),Sadness
I should've bought that kate spade tote when I first seen it (A),Sadness
@sophieegallant @garetweiss nooo!(A) You can give them to me I have a mini Kate Spade bag to match ,Sadness
I got this one bitch(A) who call me her bestfriend but she as fake as the Furla bag she be carrying. ..like bitch please exit stage right,Hate
Was it just a dream or did I really order that Michael Kors handbag at 1am? (A),Hate
Don't come to my till with your fake longchamp bag darling (A),Hate
I honestly hate(A) Coach bags.,Hate
Bloody(A) fake mulberry bag #brokenhandle http://t.co/ukI6OkSuhb,Anger
